number,value,datetime_start,datetime_complete,duration,params_balancing,params_boosting_type,params_contrast_method,params_device_type,params_drop_rate,params_feature_selection,params_gpu_use_dp,params_is_unbalance,params_learning_rate,params_max_bin,params_max_depth,params_min_child_samples,params_min_split_gain,params_n_estimators,params_num_leaves,params_number_features,params_reg_alpha,params_reg_lambda,params_subsample,params_subsample_freq,user_attrs_Pipeline,user_attrs_balancing_indicator,user_attrs_cluster_indicator,user_attrs_contrast_encoding_method,user_attrs_damping,user_attrs_feature_selection,user_attrs_number_features,user_attrs_scaling_indicator,user_attrs_train_balanced_accuracy,user_attrs_train_f1_score,user_attrs_train_matthews_corrcoef,user_attrs_train_precision_score,user_attrs_train_recall_score,user_attrs_val_balanced_accuracy,user_attrs_val_f1_score,user_attrs_val_matthews_corrcoef,user_attrs_val_precision_score,user_attrs_val_recall_score,state
0,0.10510522825848197,2022-10-19 12:12:07.267236,2022-10-19 12:12:14.485489,0 days 00:00:07.218253,smoteen,gbdt,Sum,gpu,,ANOVA,False,true,0.08342360697528756,63,7,96,2.5573467197226183,100,1890,7.0,0.6124638571417054,0.15821430175348977,0.7531923985828232,3,"Pipeline(memory='Caching',
         steps=[('smote', SMOTEN(n_jobs=2, random_state=120)),
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['binary_encoding', BinaryDataTransformer()],
                ['ordinal_encoding', OrdinalDataTransformer()],
                ['contrast_data',
                 SumEncoder(cols=['Fruitveg_ytd', 'Number_people_household',
                                  'Sports_in_wee...
                                             model=LGBMClassifier(device_type='gpu',
                                                                  drop_rate=None,
                                                                  drop_seed=120,
                                                                  gpu_use_dp=False,
                                                                  is_unbalance='true',
                                                                  learning_rate=0.08342360697528756,
                                                                  max_bin=63,
                                                                  max_depth=7,
                                                                  min_child_samples=96,
                                                                  min_split_gain=2.5573467197226183,
                                                                  num_leaves=1890,
                                                                  random_state=120,
                                                                  reg_alpha=0.6124638571417054,
                                                                  reg_lambda=0.15821430175348977,
                                                                  subsample=0.7531923985828232,
                                                                  subsample_freq=3),
                                             number=7))])",smoteen,no,Sum,,ANOVA,7.0,no,0.37773758441826094,0.13976608915743524,0.10477096260941447,0.25856267836462465,0.37773758441826094,0.2932519693688604,0.10510522825848197,0.016263753578335607,0.1940080384932191,0.2932519693688604,COMPLETE
1,0.2564251936237704,2022-10-19 12:12:14.690823,2022-10-19 12:12:40.902505,0 days 00:00:26.211682,smoteen,gbdt,Helmert,gpu,,Lasso,False,false,0.012543548665526413,63,5,98,9.645357227950175,100,657,14.0,0.2097191997272446,7.124195911059705,0.7312161762767296,2,"Pipeline(memory='Caching',
         steps=[('smote', SMOTEN(n_jobs=2, random_state=120)),
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['binary_encoding', BinaryDataTransformer()],
                ['ordinal_encoding', OrdinalDataTransformer()],
                ['contrast_data',
                 HelmertEncoder(cols=['Fruitveg_ytd', 'Number_people_household',
                                      'Sports_in...
                                             model=LGBMClassifier(device_type='gpu',
                                                                  drop_rate=None,
                                                                  drop_seed=120,
                                                                  gpu_use_dp=False,
                                                                  is_unbalance='false',
                                                                  learning_rate=0.012543548665526413,
                                                                  max_bin=63,
                                                                  max_depth=5,
                                                                  min_child_samples=98,
                                                                  min_split_gain=9.645357227950175,
                                                                  num_leaves=657,
                                                                  random_state=120,
                                                                  reg_alpha=0.2097191997272446,
                                                                  reg_lambda=7.124195911059705,
                                                                  subsample=0.7312161762767296,
                                                                  subsample_freq=2),
                                             number=14))])",smoteen,no,Helmert,,Lasso,14.0,no,0.3789433926979058,0.3774135138945154,0.15626370291463673,0.37945575592198555,0.3789433926979058,0.2680801908285589,0.2564251936237704,0.007475391534022341,0.26033258357309763,0.2680801908285589,COMPLETE
2,0.03340182847159051,2022-10-19 12:12:41.123166,2022-10-19 12:12:50.423008,0 days 00:00:09.299842,no,dart,Helmert,gpu,0.03480849467611796,FeatureWiz,False,false,0.029636009616378477,63,9,82,0.9373996701056684,100,1292,,0.26408339626349137,6.392042104268613,0.815784629648047,4,"Pipeline(memory='Caching',
         steps=[['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['binary_encoding', BinaryDataTransformer()],
                ['ordinal_encoding', OrdinalDataTransformer()],
                ['contrast_data',
                 HelmertEncoder(cols=['Fruitveg_ytd', 'Number_people_household',
                                      'Sports_in_week', 'Internet_in_week',
                                      'Tired_in_week', 'C...
                                                                  device_type='gpu',
                                                                  drop_rate=0.03480849467611796,
                                                                  drop_seed=120,
                                                                  gpu_use_dp=False,
                                                                  is_unbalance='false',
                                                                  learning_rate=0.029636009616378477,
                                                                  max_bin=63,
                                                                  max_depth=9,
                                                                  min_child_samples=82,
                                                                  min_split_gain=0.9373996701056684,
                                                                  num_leaves=1292,
                                                                  random_state=120,
                                                                  reg_alpha=0.26408339626349137,
                                                                  reg_lambda=6.392042104268613,
                                                                  subsample=0.815784629648047,
                                                                  subsample_freq=4)))])",no,no,Helmert,,FeatureWiz,,no,0.3179612870789341,0.07083191219078516,0.043944403637165154,0.07417292677417957,0.3179612870789341,0.25388176638176635,0.03340182847159051,-0.0020265957553999895,0.0223960238046495,0.25388176638176635,COMPLETE
3,0.1276199991596856,2022-10-19 12:12:50.607515,2022-10-19 12:12:55.524300,0 days 00:00:04.916785,no,dart,Helmert,gpu,0.001159893094576981,MutualInformation,False,false,0.26629298198440127,63,11,25,0.1487573865209608,100,2827,30.0,11.487590361158034,1.9162441035822126,0.8651709894810921,5,"Pipeline(memory='Caching',
         steps=[['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['binary_encoding', BinaryDataTransformer()],
                ['ordinal_encoding', OrdinalDataTransformer()],
                ['contrast_data',
                 HelmertEncoder(cols=['Fruitveg_ytd', 'Number_people_household',
                                      'Sports_in_week', 'Internet_in_week',
                                      'Tired_in_week', 'C...
                                                                  device_type='gpu',
                                                                  drop_rate=0.001159893094576981,
                                                                  drop_seed=120,
                                                                  gpu_use_dp=False,
                                                                  is_unbalance='false',
                                                                  learning_rate=0.26629298198440127,
                                                                  max_bin=63,
                                                                  max_depth=11,
                                                                  min_child_samples=25,
                                                                  min_split_gain=0.1487573865209608,
                                                                  num_leaves=2827,
                                                                  random_state=120,
                                                                  reg_alpha=11.487590361158034,
                                                                  reg_lambda=1.9162441035822126,
                                                                  subsample=0.8651709894810921,
                                                                  subsample_freq=5),
                                             number=30))])",no,no,Helmert,,MutualInformation,30.0,no,0.3300806709537757,0.1498009414209223,0.10445648229988165,0.28407479839897104,0.3300806709537757,0.24551490553887534,0.1276199991596856,0.034570115911284456,0.26517838118461007,0.24551490553887534,COMPLETE
4,0.21916436091072722,2022-10-19 12:12:55.730164,2022-10-19 12:13:55.320654,0 days 00:00:59.590490,smoteen,gbdt,Polynomial,gpu,,BorutaShap,False,true,0.017344632134668466,63,12,5,0.23830388897378235,100,1372,,0.5487859246755801,1.2796826643755235,0.9327761132313435,7,"Pipeline(memory='Caching',
         steps=[('smote', SMOTEN(n_jobs=2, random_state=120)),
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['binary_encoding', BinaryDataTransformer()],
                ['ordinal_encoding', OrdinalDataTransformer()],
                ['contrast_data',
                 PolynomialEncoder(cols=['Fruitveg_ytd',
                                         'Number_people_household',
                                         'Sports...
                                             model=LGBMClassifier(device_type='gpu',
                                                                  drop_rate=None,
                                                                  drop_seed=120,
                                                                  gpu_use_dp=False,
                                                                  is_unbalance='true',
                                                                  learning_rate=0.017344632134668466,
                                                                  max_bin=63,
                                                                  max_depth=12,
                                                                  min_child_samples=5,
                                                                  min_split_gain=0.23830388897378235,
                                                                  num_leaves=1372,
                                                                  random_state=120,
                                                                  reg_alpha=0.5487859246755801,
                                                                  reg_lambda=1.2796826643755235,
                                                                  subsample=0.9327761132313435,
                                                                  subsample_freq=7)))])",smoteen,no,Polynomial,,BorutaShap,,no,0.40075417748433845,0.30355097159600464,0.15625729718117345,0.3225336003176745,0.40075417748433845,0.2665288587947707,0.21916436091072722,0.01663585580969182,0.26197397303635633,0.2665288587947707,COMPLETE
5,0.23363708025016025,2022-10-19 12:13:55.489247,2022-10-19 12:13:58.378158,0 days 00:00:02.888911,no,dart,Polynomial,gpu,0.0009811254362446307,FeatureImportance_ET,False,false,0.1421549601098418,63,3,90,2.7920545816485243,100,1808,26.0,1.5157636747060201,0.11849206872941251,0.5728755288831802,3,"Pipeline(memory='Caching',
         steps=[['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['binary_encoding', BinaryDataTransformer()],
                ['ordinal_encoding', OrdinalDataTransformer()],
                ['contrast_data',
                 PolynomialEncoder(cols=['Fruitveg_ytd',
                                         'Number_people_household',
                                         'Sports_in_week', 'Internet_in_week',
                                         'Tired_in_week'...
                                                                  device_type='gpu',
                                                                  drop_rate=0.0009811254362446307,
                                                                  drop_seed=120,
                                                                  gpu_use_dp=False,
                                                                  is_unbalance='false',
                                                                  learning_rate=0.1421549601098418,
                                                                  max_bin=63,
                                                                  max_depth=3,
                                                                  min_child_samples=90,
                                                                  min_split_gain=2.7920545816485243,
                                                                  num_leaves=1808,
                                                                  random_state=120,
                                                                  reg_alpha=1.5157636747060201,
                                                                  reg_lambda=0.11849206872941251,
                                                                  subsample=0.5728755288831802,
                                                                  subsample_freq=3),
                                             number=26))])",no,no,Polynomial,,FeatureImportance_ET,26.0,no,0.3910980351600342,0.24792049626103396,0.1777242026793037,0.2605159134261911,0.3910980351600342,0.33818657655866957,0.23363708025016025,0.11258655042830201,0.24469716831001476,0.33818657655866957,COMPLETE
6,0.22859158516980416,2022-10-19 12:13:58.557587,2022-10-19 12:14:02.689726,0 days 00:00:04.132139,no,gbdt,Backward Difference,gpu,,FeatureImportance_ET,False,false,0.01560279604545094,63,12,45,0.12813405890216453,100,1543,5.0,0.186216181095943,1.6671359735069848,0.9107443621586463,6,"Pipeline(memory='Caching',
         steps=[['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['binary_encoding', BinaryDataTransformer()],
                ['ordinal_encoding', OrdinalDataTransformer()],
                ['contrast_data',
                 BackwardDifferenceEncoder(cols=['Fruitveg_ytd',
                                                 'Number_people_household',
                                                 'Sports_in_week',
                                                 'Internet_in_week',
                                                 'Tired_...
                                             model=LGBMClassifier(device_type='gpu',
                                                                  drop_rate=None,
                                                                  drop_seed=120,
                                                                  gpu_use_dp=False,
                                                                  is_unbalance='false',
                                                                  learning_rate=0.01560279604545094,
                                                                  max_bin=63,
                                                                  max_depth=12,
                                                                  min_child_samples=45,
                                                                  min_split_gain=0.12813405890216453,
                                                                  num_leaves=1543,
                                                                  random_state=120,
                                                                  reg_alpha=0.186216181095943,
                                                                  reg_lambda=1.6671359735069848,
                                                                  subsample=0.9107443621586463,
                                                                  subsample_freq=6),
                                             number=5))])",no,no,Backward Difference,,FeatureImportance_ET,5.0,no,0.25,0.22859163282347905,0.0,0.21056069848744294,0.25,0.25,0.22859158516980416,0.0,0.21056091707516342,0.25,COMPLETE
7,0.22859158516980416,2022-10-19 12:14:02.870943,2022-10-19 12:14:09.963924,0 days 00:00:07.092981,no,dart,Sum,gpu,0.002666273763075716,Lasso,False,true,0.1518345326669918,63,8,99,2.3918575029410967,100,3452,8.0,83.80938129507452,84.93214098754149,0.6813297223089728,2,"Pipeline(memory='Caching',
         steps=[['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['binary_encoding', BinaryDataTransformer()],
                ['ordinal_encoding', OrdinalDataTransformer()],
                ['contrast_data',
                 SumEncoder(cols=['Fruitveg_ytd', 'Number_people_household',
                                  'Sports_in_week', 'Internet_in_week',
                                  'Tired_in_week', 'Conce...
                                                                  device_type='gpu',
                                                                  drop_rate=0.002666273763075716,
                                                                  drop_seed=120,
                                                                  gpu_use_dp=False,
                                                                  is_unbalance='true',
                                                                  learning_rate=0.1518345326669918,
                                                                  max_bin=63,
                                                                  max_depth=8,
                                                                  min_child_samples=99,
                                                                  min_split_gain=2.3918575029410967,
                                                                  num_leaves=3452,
                                                                  random_state=120,
                                                                  reg_alpha=83.80938129507452,
                                                                  reg_lambda=84.93214098754149,
                                                                  subsample=0.6813297223089728,
                                                                  subsample_freq=2),
                                             number=8))])",no,no,Sum,,Lasso,8.0,no,0.25,0.22859163282347905,0.0,0.21056069848744294,0.25,0.25,0.22859158516980416,0.0,0.21056091707516342,0.25,COMPLETE
8,0.22859158516980416,2022-10-19 12:14:10.132769,2022-10-19 12:14:16.079662,0 days 00:00:05.946893,no,gbdt,Helmert,gpu,,Lasso,False,false,0.2931689888274616,63,4,95,0.2757924387518305,100,2484,20.0,4.168359274111742,5.5890259512023155,0.7606304851053821,9,"Pipeline(memory='Caching',
         steps=[['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['binary_encoding', BinaryDataTransformer()],
                ['ordinal_encoding', OrdinalDataTransformer()],
                ['contrast_data',
                 HelmertEncoder(cols=['Fruitveg_ytd', 'Number_people_household',
                                      'Sports_in_week', 'Internet_in_week',
                                      'Tired_in_week', 'C...
                                             model=LGBMClassifier(device_type='gpu',
                                                                  drop_rate=None,
                                                                  drop_seed=120,
                                                                  gpu_use_dp=False,
                                                                  is_unbalance='false',
                                                                  learning_rate=0.2931689888274616,
                                                                  max_bin=63,
                                                                  max_depth=4,
                                                                  min_child_samples=95,
                                                                  min_split_gain=0.2757924387518305,
                                                                  num_leaves=2484,
                                                                  random_state=120,
                                                                  reg_alpha=4.168359274111742,
                                                                  reg_lambda=5.5890259512023155,
                                                                  subsample=0.7606304851053821,
                                                                  subsample_freq=9),
                                             number=20))])",no,no,Helmert,,Lasso,20.0,no,0.25,0.22859163282347905,0.0,0.21056069848744294,0.25,0.25,0.22859158516980416,0.0,0.21056091707516342,0.25,COMPLETE
9,0.22859158516980416,2022-10-19 12:14:16.243692,2022-10-19 12:14:19.796302,0 days 00:00:03.552610,no,gbdt,Polynomial,gpu,,MutualInformation,False,false,0.1437568191756859,63,7,46,0.5963879298742134,100,1184,12.0,1.9193744462819344,40.26862217305137,0.9326019048833802,5,"Pipeline(memory='Caching',
         steps=[['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['binary_encoding', BinaryDataTransformer()],
                ['ordinal_encoding', OrdinalDataTransformer()],
                ['contrast_data',
                 PolynomialEncoder(cols=['Fruitveg_ytd',
                                         'Number_people_household',
                                         'Sports_in_week', 'Internet_in_week',
                                         'Tired_in_week'...
                                             model=LGBMClassifier(device_type='gpu',
                                                                  drop_rate=None,
                                                                  drop_seed=120,
                                                                  gpu_use_dp=False,
                                                                  is_unbalance='false',
                                                                  learning_rate=0.1437568191756859,
                                                                  max_bin=63,
                                                                  max_depth=7,
                                                                  min_child_samples=46,
                                                                  min_split_gain=0.5963879298742134,
                                                                  num_leaves=1184,
                                                                  random_state=120,
                                                                  reg_alpha=1.9193744462819344,
                                                                  reg_lambda=40.26862217305137,
                                                                  subsample=0.9326019048833802,
                                                                  subsample_freq=5),
                                             number=12))])",no,no,Polynomial,,MutualInformation,12.0,no,0.25,0.22859163282347905,0.0,0.21056069848744294,0.25,0.25,0.22859158516980416,0.0,0.21056091707516342,0.25,COMPLETE
